,Sep,2205.430489,,,,,,
,Oct,2258.047539,,,,,,
,Nov,1993.239598,,,,,,
,Dec,2354.375389,,,,,,
2015,Jan,1927.251612,,,,,,
,Feb,1935.784226,,,,,,
,Mar,2394.164644,,,,,,
,Apr,2069.991899,,,,,,
,May,2067.544602,,,,,,
,Jun,2226.773886,,,,,,
,Jul,2252.852538,,,,,,
,Aug,1994.102307,,,,,,
,Sep,2234.060141,,,,,,
,Oct,2163.566217,,,,,,
,Nov,1870.574139,,,,,,
,Dec,2470.163967,,,,,,
2016,Jan,1997.250588,,,,,,
,Feb,2097.907114,,,,,,
,Mar,2361.757075,,,,,,
,Apr,2213.237647,,,,,,
,May,2188.361537,,,,,,
,Jun,2333.960365,,,,,,
,Jul,2130.866174,,,,,,
,Aug,2318.977165,,,,,,
,Sep,2383.072627,,,,,,
,Oct,2098.801669,,,,,,
,Nov,2216.884693,,,,,,
,Dec,2558.763611,,,,,,
2017,Jan,2168.689329,,,,,,
,Feb,2169.240831,,,,,,
,Mar,2615.215937,,,,,,
,Apr,2082.618363,,,,,,
,May,2309.75769,,,,,,
,Jun,2467.072519,,,,,,
,Jul,2282.731305,,,,,,
,Aug,2499.483354,,,,,,
,Sep,2186.091084,,,,,,
,Oct,2275.151361,,,,,,
,Nov,2262.312683,,,,,,
,Dec,2741.425039,,,,,,
2018,Jan,2379.20121,,,,,,
,Feb,2267.355694,,,,,,
,Mar,2359.61543,,,,,,
,Apr,2346.899889,,,,,,
,May,2469.382612,,,,,,
,Jun,2356.881048,,,,,,
,Jul,2400.78979,,,,,,
,Aug,2476.473882,,,,,,
,Sep,2237.003014,,,,,,
,Oct,2473.97228,,,,,,
,Nov,2326.471305,,,,,,
,Dec,2849.065782,,,,,,
2019,Jan,2483.616376,,,,,,
,Feb,2300.796663,,,,,,
,Mar,2514.251208,,,,,,
,Apr,2440.629946,,,,,,
,May,2609.470904,,,,,,
,Jun,2289.532098,,,,,,
,Jul,2580.711356,,,,,,
,Aug,2589.236323,,,,,,
,Sep,2379.041953,,,,,,
,Oct,2671.198903,,,,,,
,Nov,2372.398541,,,,,,
,Dec,2902.415627,,,,,,
2020,Jan,2648.018852,,,,,,
,Feb,2357.902421,,,,,,
,Mar,2396.623671,,,,,,
,Apr,2045.912664,,,,,,
,May,2105.649769,,,,,,
,Jun,2465.332589,,,,,,
,Jul,2782.536122,,,,,,
,Aug,2482.66514,,,,,,
,Sep,2601.263303,,,,,,
,Oct,2747.463708,,,,,,
,Nov,2379.474159,,,,,,
,Dec,2890.413297,,,,,,
2021,Jan,2602.547153,,,,,,
,Feb,2475.78198,,,,,,
,Mar,2514.296857,,,,,,
,Apr,2305.150698,,,,,,
,May,2382.115252,,,,,,
,Jun,2637.941723,,,,,,
,Jul,2853.023368,,,,,,
,Aug,2608.916209,,,,,,
,Sep,2736.862358,,,,,,
,Oct,2812.043952,,,,,,
,Nov,2501.820341,,,,,,
,Dec,2987.114531,,,,,,
2022,Jan,2668.183701,,,,,,
,Feb,2508.601256,,,,,,
,Mar,2594.39819,,,,,,
,Apr,2395.492673,,,,,,
,May,2425.325801,,,,,,
,Jun,2754.673748,,,,,,
,Jul,2917.313541,,,,,,
,Aug,2721.458443,,,,,,
,Sep,2840.04155,,,,,,
,Oct,2910.946005,,,,,,
,Nov,2643.861067,,,,,,
,Dec,3159.134103,,,,,,
2023,Jan,2761.929744,,,,,,
,Feb,2569.344692,,,,,,
,Mar,2670.971961,,,,,,
,Apr,2484.79318,,,,,,
,May,2493.80346,,,,,,
,Jun,2812.471417,,,,,,
,Jul,2991.816264,,,,,,
,Aug,2795.824561,,,,,,
,Sep,2912.882483,,,,,,
,Oct,2997.924507,,,,,,
,Nov,2718.834516,,,,,,
,Dec,3280.333485,,,,,,
2024,Jan,2835.904995,,,,,,
,Feb,2645.557231,,,,,,
,Mar,2737.834128,,,,,,
,Apr,2562.306965,,,,,,
,May,2583.468575,,,,,,
,Jun,2881.751099,,,,,,
,Jul,3084.75656,,,,,,
,Aug,2885.405137,,,,,,
,,,,,,,,
